resource.h, Line: 3, Word: 1
afxres.h, Line: 10, Word: 1
bmp00002.bmp, Line: 27, Word: 1
bitmap3.bmp, Line: 29, Word: 1
bmp00001.bmp, Line: 31, Word: 1
bmp00003.bmp, Line: 33, Word: 1
bmp00004.bmp, Line: 35, Word: 1
bitmap2.bmp, Line: 37, Word: 1
res\\CompanyName.bmp, Line: 39, Word: 1
MachSim Parameters, Line: 49, Word: 1
MS Sans Serif, Line: 50, Word: 1
Collision, Line: 52, Word: 1
Collision control eanbled, Line: 53, Word: 1
Button, Line: 53, Word: 2
Part Tolerance, Line: 54, Word: 1
Part Offset, Line: 56, Word: 1
Collision control between moves, Line: 58, Word: 1
Button, Line: 59, Word: 1
Environment, Line: 60, Word: 1
Enable machine definition editing, Line: 61, Word: 1
Button, Line: 62, Word: 1
Multisample, Line: 63, Word: 1
Disabled, Line: 64, Word: 1
Button, Line: 64, Word: 2
2x, Line: 65, Word: 1
Button, Line: 65, Word: 2
4x, Line: 66, Word: 1
Button, Line: 66, Word: 2
Mesh smooth angle, Line: 67, Word: 1
Part Origin, Line: 69, Word: 1
X, Line: 70, Word: 1
Y, Line: 72, Word: 1
Z, Line: 74, Word: 1
OK, Line: 76, Word: 1
Cancel, Line: 77, Word: 1
Machine Simulation, Line: 82, Word: 1
MS Shell Dlg, Line: 83, Word: 1
res\\bitmap1.bmp, Line: 138, Word: 1
res\\Toolbar.bmp, Line: 140, Word: 1
res\\toolbar2.bmp, Line: 142, Word: 1
About SolidCNC..., Line: 152, Word: 1
MS Sans Serif, Line: 153, Word: 1
CNC Teknolojik Yazilim Sistemleri Ltd., Line: 156, Word: 1
http://www.solidcnc.net, Line: 157, Word: 1
OK, Line: 158, Word: 1
MS Sans Serif, Line: 165, Word: 1
TODO: layout dialog bar , Line: 167, Word: 1
Diffuse, Line: 172, Word: 1
MS Sans Serif, Line: 173, Word: 1
-1...........................0...........................1, Line: 175, Word: 1
R, Line: 176, Word: 1
Slider1, Line: 177, Word: 1
msctls_trackbar32, Line: 177, Word: 2
G, Line: 178, Word: 1
Slider1, Line: 179, Word: 1
msctls_trackbar32, Line: 179, Word: 2
B, Line: 180, Word: 1
Slider1, Line: 181, Word: 1
msctls_trackbar32, Line: 181, Word: 2
A, Line: 182, Word: 1
Slider1, Line: 183, Word: 1
msctls_trackbar32, Line: 183, Word: 2
Static, Line: 184, Word: 1
Static, Line: 185, Word: 1
Static, Line: 186, Word: 1
Static, Line: 187, Word: 1
License Manager, Line: 192, Word: 1
MS Sans Serif, Line: 193, Word: 1
OK, Line: 195, Word: 1
Cancel, Line: 196, Word: 1
Please enter key2, Line: 198, Word: 1
, Line: 200, Word: 1
{8856F961-340A-11D0-A96B-00C04FD705A2}, Line: 200, Word: 2
Key1, Line: 201, Word: 1
PLEASE COPY KEY1 TO THE WEB FORM'S KEY1 FIELD , Line: 202, Word: 1
PLEASE COPY THE GENERATED KEY2 BELLOW , Line: 203, Word: 1
Start up settings directory, Line: 204, Word: 1
MS Shell Dlg, Line: 210, Word: 1
Run, Line: 212, Word: 1
, Line: 213, Word: 1
SysListView32, Line: 213, Word: 2
Make new line, Line: 215, Word: 1
Delete line, Line: 216, Word: 1
Record table, Line: 217, Word: 1
res\\viewpoint.ico, Line: 275, Word: 1
res\\viewpoint.ico, Line: 277, Word: 1
res\\viewpoint.ico, Line: 279, Word: 1
resource.h\0, Line: 290, Word: 1
#include , Line: 295, Word: 1
afxres.h, Line: 295, Word: 2
\r\n, Line: 295, Word: 3
\0, Line: 296, Word: 1
\r\n, Line: 301, Word: 1
\0, Line: 302, Word: 1
W, Line: 315, Word: 1
A, Line: 316, Word: 1
L, Line: 317, Word: 1
P, Line: 318, Word: 1
C, Line: 319, Word: 1
X, Line: 322, Word: 1
F, Line: 323, Word: 1
V, Line: 324, Word: 1
Z, Line: 327, Word: 1
Y, Line: 328, Word: 1
N, Line: 329, Word: 1
O, Line: 330, Word: 1
P, Line: 331, Word: 1
S, Line: 332, Word: 1
StringFileInfo, Line: 357, Word: 1
080004b0, Line: 359, Word: 1
CompanyName, Line: 361, Word: 1
CNC Technological Software Systems Ltd., Line: 361, Word: 2
FileDescription, Line: 362, Word: 1
SolidCNC Software, Line: 362, Word: 2
FileVersion, Line: 363, Word: 1
2024.2.24.2973, Line: 363, Word: 2
InternalName, Line: 364, Word: 1
SolidCNC, Line: 364, Word: 2
LegalCopyright, Line: 365, Word: 1
Copyright (C) 2013, Line: 365, Word: 2
OriginalFilename, Line: 366, Word: 1
SolidCNC.exe, Line: 366, Word: 2
ProductName, Line: 367, Word: 1
SolidCNC Software, Line: 367, Word: 2
ProductVersion, Line: 368, Word: 1
2024.2.24.2973, Line: 368, Word: 2
VarFileInfo, Line: 371, Word: 1
Translation, Line: 373, Word: 1
&File, Line: 385, Word: 1
&New\tCtrl+N, Line: 387, Word: 1
&Open...\tCtrl+O, Line: 388, Word: 1
P&rint Setup..., Line: 390, Word: 1
Recent File, Line: 392, Word: 1
E&xit, Line: 394, Word: 1
&View, Line: 396, Word: 1
&Araï¿½larr, Line: 398, Word: 1
&Status Bar, Line: 399, Word: 1
Project Explorer, Line: 400, Word: 1
Output Window, Line: 401, Word: 1
&Language, Line: 403, Word: 1
Dummy, Line: 405, Word: 1
&Help, Line: 407, Word: 1
&About SolidCNC..., Line: 409, Word: 1
Client Context, Line: 415, Word: 1
Pan, Line: 417, Word: 1
Zoom to Box, Line: 418, Word: 1
Zoom & Pan, Line: 419, Word: 1
Rotate, Line: 420, Word: 1
Roll, Line: 421, Word: 1
Fit, Line: 423, Word: 1
ChangeViewTo, Line: 425, Word: 1
Top, Line: 427, Word: 1
Front, Line: 428, Word: 1
Right, Line: 429, Word: 1
Bottom, Line: 430, Word: 1
Back, Line: 431, Word: 1
Left, Line: 432, Word: 1
DrawStyle, Line: 434, Word: 1
ShadedAndWireFrame, Line: 436, Word: 1
Shaded, Line: 437, Word: 1
WireFrame, Line: 438, Word: 1
HiddenLine, Line: 439, Word: 1
Transparent HiddenLine, Line: 440, Word: 1
Triangles, Line: 441, Word: 1
ChangeViewDir..., Line: 443, Word: 1
SetRotCenter..., Line: 444, Word: 1
Dimensions, Line: 445, Word: 1
List..., Line: 447, Word: 1
On screen..., Line: 448, Word: 1
Delete X, Line: 450, Word: 1
&File, Line: 456, Word: 1
&New\tCtrl+N, Line: 458, Word: 1
&Open...\tCtrl+O, Line: 459, Word: 1
Open multi files..., Line: 460, Word: 1
&Close, Line: 461, Word: 1
S&ave As..., Line: 462, Word: 1
Save Iges..., Line: 463, Word: 1
Save STL..., Line: 464, Word: 1
Save Dxf..., Line: 465, Word: 1
Read NC files..., Line: 466, Word: 1
Export Surfaces&Curves To LuaScript..., Line: 467, Word: 1
Recently Opened, Line: 470, Word: 1
E&xit, Line: 472, Word: 1
&Edit, Line: 474, Word: 1
Undo last action(CTRL-Z), Line: 477, Word: 1
Redo last undo(CTRL-Y), Line: 478, Word: 1
Copy..., Line: 479, Word: 1
Find text...(CTRL-F), Line: 480, Word: 1
Visual Attributes..., Line: 481, Word: 1
