resource.h, Line: 3
afxres.h, Line: 10
bmp00002.bmp, Line: 27
bitmap3.bmp, Line: 29
bmp00001.bmp, Line: 31
bmp00003.bmp, Line: 33
bmp00004.bmp, Line: 35
bitmap2.bmp, Line: 37
res\\CompanyName.bmp, Line: 39
MachSim Parameters, Line: 49
MS Sans Serif, Line: 50
Collision, Line: 52
Collision control eanbled, Line: 53
Button, Line: 53
Part Tolerance, Line: 54
Part Offset, Line: 56
Collision control between moves, Line: 58
Button, Line: 59
Environment, Line: 60
Enable machine definition editing, Line: 61
Button, Line: 62
Multisample, Line: 63
Disabled, Line: 64
Button, Line: 64
2x, Line: 65
Button, Line: 65
4x, Line: 66
Button, Line: 66
Mesh smooth angle, Line: 67
Part Origin, Line: 69
X, Line: 70
Y, Line: 72
Z, Line: 74
OK, Line: 76
Cancel, Line: 77
Machine Simulation, Line: 82
MS Shell Dlg, Line: 83
res\\bitmap1.bmp, Line: 138
res\\Toolbar.bmp, Line: 140
res\\toolbar2.bmp, Line: 142
About SolidCNC..., Line: 152
MS Sans Serif, Line: 153
CNC Teknolojik Yazilim Sistemleri Ltd., Line: 156
http://www.solidcnc.net, Line: 157
OK, Line: 158
MS Sans Serif, Line: 165
TODO: layout dialog bar , Line: 167
Diffuse, Line: 172
MS Sans Serif, Line: 173
-1...........................0...........................1, Line: 175
R, Line: 176
Slider1, Line: 177
msctls_trackbar32, Line: 177
G, Line: 178
Slider1, Line: 179
msctls_trackbar32, Line: 179
B, Line: 180
Slider1, Line: 181
msctls_trackbar32, Line: 181
A, Line: 182
Slider1, Line: 183
msctls_trackbar32, Line: 183
Static, Line: 184
Static, Line: 185
Static, Line: 186
Static, Line: 187
License Manager, Line: 192
MS Sans Serif, Line: 193
OK, Line: 195
Cancel, Line: 196
Please enter key2, Line: 198
, Line: 200
{8856F961-340A-11D0-A96B-00C04FD705A2}, Line: 200
Key1, Line: 201
PLEASE COPY KEY1 TO THE WEB FORM'S KEY1 FIELD , Line: 202
PLEASE COPY THE GENERATED KEY2 BELLOW , Line: 203
Start up settings directory, Line: 204
MS Shell Dlg, Line: 210
Run, Line: 212
, Line: 213
SysListView32, Line: 213
Make new line, Line: 215
Delete line, Line: 216
Record table, Line: 217
res\\viewpoint.ico, Line: 275
res\\viewpoint.ico, Line: 277
res\\viewpoint.ico, Line: 279
resource.h\0, Line: 290
#include , Line: 295
afxres.h, Line: 295
\r\n, Line: 295
\0, Line: 296
\r\n, Line: 301
\0, Line: 302
W, Line: 315
A, Line: 316
L, Line: 317
P, Line: 318
C, Line: 319
X, Line: 322
F, Line: 323
V, Line: 324
Z, Line: 327
Y, Line: 328
N, Line: 329
O, Line: 330
P, Line: 331
S, Line: 332
StringFileInfo, Line: 357
080004b0, Line: 359
CompanyName, Line: 361
CNC Technological Software Systems Ltd., Line: 361
FileDescription, Line: 362
SolidCNC Software, Line: 362
FileVersion, Line: 363
2024.2.24.2973, Line: 363
InternalName, Line: 364
SolidCNC, Line: 364
LegalCopyright, Line: 365
Copyright (C) 2013, Line: 365
OriginalFilename, Line: 366
SolidCNC.exe, Line: 366
ProductName, Line: 367
SolidCNC Software, Line: 367
ProductVersion, Line: 368
2024.2.24.2973, Line: 368
VarFileInfo, Line: 371
Translation, Line: 373
&File, Line: 385
&New\tCtrl+N, Line: 387
&Open...\tCtrl+O, Line: 388
P&rint Setup..., Line: 390
Recent File, Line: 392
E&xit, Line: 394
&View, Line: 396
&Araï¿½larr, Line: 398
&Status Bar, Line: 399
Project Explorer, Line: 400
Output Window, Line: 401
&Language, Line: 403
Dummy, Line: 405
&Help, Line: 407
&About SolidCNC..., Line: 409
Client Context, Line: 415
Pan, Line: 417
Zoom to Box, Line: 418
Zoom & Pan, Line: 419
Rotate, Line: 420
Roll, Line: 421
Fit, Line: 423
ChangeViewTo, Line: 425
Top, Line: 427
Front, Line: 428
Right, Line: 429
Bottom, Line: 430
Back, Line: 431
Left, Line: 432
DrawStyle, Line: 434
ShadedAndWireFrame, Line: 436
Shaded, Line: 437
WireFrame, Line: 438
HiddenLine, Line: 439
Transparent HiddenLine, Line: 440
Triangles, Line: 441
ChangeViewDir..., Line: 443
SetRotCenter..., Line: 444
Dimensions, Line: 445
List..., Line: 447
On screen..., Line: 448
Delete X, Line: 450
&File, Line: 456
&New\tCtrl+N, Line: 458
&Open...\tCtrl+O, Line: 459
Open multi files..., Line: 460
&Close, Line: 461
S&ave As..., Line: 462
Save Iges..., Line: 463
Save STL..., Line: 464
Save Dxf..., Line: 465
