resource.h, Line: 3, Word: 3
afxres.h, Line: 10, Word: 3
bmp00002.bmp, Line: 27, Word: 4
bitmap3.bmp, Line: 29, Word: 4
bmp00001.bmp, Line: 31, Word: 4
bmp00003.bmp, Line: 33, Word: 4
bmp00004.bmp, Line: 35, Word: 4
bitmap2.bmp, Line: 37, Word: 4
res\\CompanyName.bmp, Line: 39, Word: 4
MachSim Parameters, Line: 49, Word: 3
MS Sans Serif, Line: 50, Word: 4
Collision, Line: 52, Word: 3
Collision control eanbled, Line: 53, Word: 3
Button, Line: 53, Word: 5
Part Tolerance, Line: 54, Word: 3
Part Offset, Line: 56, Word: 3
Collision control between moves, Line: 58, Word: 3
Button, Line: 59, Word: 2
Environment, Line: 60, Word: 3
Enable machine definition editing, Line: 61, Word: 3
Button, Line: 62, Word: 2
Multisample, Line: 63, Word: 3
Disabled, Line: 64, Word: 3
Button, Line: 64, Word: 3
2x, Line: 65, Word: 3
Button, Line: 65, Word: 3
4x, Line: 66, Word: 3
Button, Line: 66, Word: 3
Mesh smooth angle, Line: 67, Word: 3
Part Origin, Line: 69, Word: 3
X, Line: 70, Word: 2
Y, Line: 72, Word: 3
Z, Line: 74, Word: 3
OK, Line: 76, Word: 3
Cancel, Line: 77, Word: 3
Machine Simulation, Line: 82, Word: 3
MS Shell Dlg, Line: 83, Word: 4
res\\bitmap1.bmp, Line: 138, Word: 4
res\\Toolbar.bmp, Line: 140, Word: 4
res\\toolbar2.bmp, Line: 142, Word: 4
About SolidCNC..., Line: 152, Word: 3
MS Sans Serif, Line: 153, Word: 4
CNC Teknolojik Yazilim Sistemleri Ltd., Line: 156, Word: 3
http://www.solidcnc.net, Line: 157, Word: 3
OK, Line: 158, Word: 3
MS Sans Serif, Line: 165, Word: 4
TODO: layout dialog bar , Line: 167, Word: 3
Diffuse, Line: 172, Word: 3
MS Sans Serif, Line: 173, Word: 4
-1...........................0...........................1, Line: 175, Word: 3
R, Line: 176, Word: 3
Slider1, Line: 177, Word: 3
msctls_trackbar32, Line: 177, Word: 3
G, Line: 178, Word: 3
Slider1, Line: 179, Word: 3
msctls_trackbar32, Line: 179, Word: 3
B, Line: 180, Word: 3
Slider1, Line: 181, Word: 3
msctls_trackbar32, Line: 181, Word: 3
A, Line: 182, Word: 3
Slider1, Line: 183, Word: 3
msctls_trackbar32, Line: 183, Word: 3
Static, Line: 184, Word: 3
Static, Line: 185, Word: 3
Static, Line: 186, Word: 3
Static, Line: 187, Word: 3
License Manager, Line: 192, Word: 3
MS Sans Serif, Line: 193, Word: 4
OK, Line: 195, Word: 3
Cancel, Line: 196, Word: 3
Please enter key2, Line: 198, Word: 3
, Line: 200, Word: 1
{8856F961-340A-11D0-A96B-00C04FD705A2}, Line: 200, Word: 3
Key1, Line: 201, Word: 3
PLEASE COPY KEY1 TO THE WEB FORM'S KEY1 FIELD , Line: 202, Word: 3
PLEASE COPY THE GENERATED KEY2 BELLOW , Line: 203, Word: 3
Start up settings directory, Line: 204, Word: 3
MS Shell Dlg, Line: 210, Word: 4
Run, Line: 212, Word: 3
, Line: 213, Word: 1
SysListView32, Line: 213, Word: 3
Make new line, Line: 215, Word: 3
Delete line, Line: 216, Word: 3
Record table, Line: 217, Word: 3
res\\viewpoint.ico, Line: 275, Word: 4
res\\viewpoint.ico, Line: 277, Word: 4
res\\viewpoint.ico, Line: 279, Word: 4
resource.h\0, Line: 290, Word: 2
#include , Line: 295, Word: 2
afxres.h, Line: 295, Word: 3
\r\n, Line: 295, Word: 3
\0, Line: 296, Word: 2
\r\n, Line: 301, Word: 2
\0, Line: 302, Word: 2
W, Line: 315, Word: 2
A, Line: 316, Word: 2
L, Line: 317, Word: 2
P, Line: 318, Word: 2
C, Line: 319, Word: 2
X, Line: 322, Word: 2
F, Line: 323, Word: 2
V, Line: 324, Word: 2
Z, Line: 327, Word: 2
Y, Line: 328, Word: 2
N, Line: 329, Word: 2
O, Line: 330, Word: 2
P, Line: 331, Word: 2
S, Line: 332, Word: 2
StringFileInfo, Line: 357, Word: 3
080004b0, Line: 359, Word: 3
CompanyName, Line: 361, Word: 3
CNC Technological Software Systems Ltd., Line: 361, Word: 4
FileDescription, Line: 362, Word: 3
SolidCNC Software, Line: 362, Word: 4
FileVersion, Line: 363, Word: 3
2024.2.24.2973, Line: 363, Word: 4
InternalName, Line: 364, Word: 3
SolidCNC, Line: 364, Word: 4
LegalCopyright, Line: 365, Word: 3
Copyright (C) 2013, Line: 365, Word: 4
OriginalFilename, Line: 366, Word: 3
SolidCNC.exe, Line: 366, Word: 4
ProductName, Line: 367, Word: 3
SolidCNC Software, Line: 367, Word: 4
ProductVersion, Line: 368, Word: 3
2024.2.24.2973, Line: 368, Word: 4
VarFileInfo, Line: 371, Word: 3
Translation, Line: 373, Word: 3
&File, Line: 385, Word: 3
&New\tCtrl+N, Line: 387, Word: 3
&Open...\tCtrl+O, Line: 388, Word: 3
P&rint Setup..., Line: 390, Word: 3
Recent File, Line: 392, Word: 3
E&xit, Line: 394, Word: 3
&View, Line: 396, Word: 3
&Araï¿½larr, Line: 398, Word: 3
&Status Bar, Line: 399, Word: 3
Project Explorer, Line: 400, Word: 3
Output Window, Line: 401, Word: 3
&Language, Line: 403, Word: 3
Dummy, Line: 405, Word: 3
&Help, Line: 407, Word: 3
&About SolidCNC..., Line: 409, Word: 3
Client Context, Line: 415, Word: 3
Pan, Line: 417, Word: 3
Zoom to Box, Line: 418, Word: 3
Zoom & Pan, Line: 419, Word: 3
